station_origin,station_destination,flows,population,jobs,distance
Tooting Bec,Royal Oak,1,6734,856,15481.76485777927
Tooting Bec,Russell Square,8,6734,5172,12231.298519674563
Tooting Bec,Seven Sisters,11,6734,10191,20564.318179324397
Tooting Bec,Shepherd's Bush,9,6734,9890,15273.097131620567
Tooting Bec,Sloane Square,30,6734,8229,9892.998752264375
Tooting Bec,Snaresbrook,1,6734,512,23249.69168584326
Tooting Bec,South Ealing,1,6734,670,21630.944122571214
Tooting Bec,South Kensington,54,6734,15325,11066.22112386581
Tooting Bec,South Wimbledon,140,6734,1361,3433.8492621257515
Tooting Bec,South Woodford,0,6734,766,24565.51242191128
Tooting Bec,Southgate,3,6734,874,26398.686464378014
Tooting Bec,Southwark,4,6734,10326,9610.98529417884
Tooting Bec,St. James's Park,26,6734,13339,9504.545335354705
Tooting Bec,St. John's Wood,11,6734,3982,14859.926793683824
Tooting Bec,St. Paul's,19,6734,13446,11105.915468770767
Tooting Bec,Stamford Brook,1,6734,784,16675.698440861728
Tooting Bec,Stanmore,0,6734,983,30797.751487423913
Tooting Bec,Stepney Green,5,6734,1879,13978.853307856745
Tooting Bec,Stockwell,29,6734,1623,4995.177625315271
Tooting Bec,Stonebridge Park,0,6734,729,21821.584511432382
Tooting Bec,Stratford,41,6734,55954,17796.354582120526
Tooting Bec,Sudbury Hill,1,6734,277,27753.50674940573
Tooting Bec,Sudbury Town,0,6734,218,26136.450134111292
Tooting Bec,Swiss Cottage,6,6734,2598,15829.867086488837
Tooting Bec,Temple,36,6734,6780,10518.580699312408
Tooting Bec,Tooting Broadway,91,6734,4506,1074.961442345419
Tooting Bec,Tottenham Court Road,165,6734,19126,11112.332704617667
Tooting Bec,Tottenham Hale,8,6734,3239,21717.857347203633
Tooting Bec,Totteridge & Whetstone,0,6734,287,26423.172235883856
Tooting Bec,Tower Hill,42,6734,8286,11096.121071144515
Tooting Bec,Tufnell Park,1,6734,557,16059.487132491222
Tooting Bec,Turnham Green,6,6734,1515,17280.46268518659
Tooting Bec,Turnpike Lane,0,6734,992,20629.03184757982
Tooting Bec,Upney,0,6734,485,25194.823675213516
Tooting Bec,Upton Park,1,6734,1642,20104.987440050594
Tooting Bec,Uxbridge,3,6734,4316,39262.95654002309
Tooting Bec,Vauxhall,134,6734,16242,6502.033334824632
Tooting Bec,Victoria,219,6734,33251,8727.239739035656
Tooting Bec,Walthamstow Central,3,6734,5271,21480.052364787178
Tooting Bec,Wanstead,0,6734,419,23258.991619735018
Tooting Bec,Warren Street,129,6734,17309,12097.120469508283
Tooting Bec,Warwick Avenue,2,6734,1174,15477.094284890052
Tooting Bec,Waterloo,180,6734,23466,8954.55836466224
Tooting Bec,Wembley Central,1,6734,1327,23539.682978400928
Tooting Bec,Wembley Park,5,6734,5759,23522.007875566735
Tooting Bec,West Brompton,6,6734,5859,13295.06500891808
Tooting Bec,West Finchley,0,6734,91,23999.596192236797
Tooting Bec,West Ham,2,6734,5487,17854.073303060126
Tooting Bec,West Hampstead,4,6734,5856,17011.368472787424
Tooting Bec,West Kensington,3,6734,1345,13671.741111459602
Tooting Bec,Westbourne Park,5,6734,1347,16451.16910382247
Tooting Bec,Westminster,26,6734,15466,9804.918391023131
Tooting Bec,White City,21,6734,5966,16573.598224880167
Tooting Bec,Whitechapel,12,6734,17633,12898.689124362225
Tooting Bec,Willesden Green,2,6734,830,19212.048009891278
Tooting Bec,Willesden Junction,2,6734,4165,19179.43004355273
Tooting Bec,Wood Green,5,6734,2146,21559.857472982985
Tooting Bec,Woodford,1,6734,706,26277.46733792431
Tooting Bec,Woodside Park,0,6734,745,24946.07053913308
Tooting Broadway,Acton Town,5,9546,2202,20577.96635088366
Tooting Broadway,Aldgate,24,9546,7782,12768.269310613037
Tooting Broadway,Aldgate East,58,9546,7932,13010.31649790178
Tooting Broadway,Alperton,2,9546,741,25551.054294414498
Tooting Broadway,Amersham,0,9546,256,52361.05699988643
Tooting Broadway,Angel,122,9546,8103,14482.356010699528
Tooting Broadway,Archway,15,9546,2193,18127.984686723154
Tooting Broadway,Arnos Grove,2,9546,748,25494.49932011011
Tooting Broadway,Arsenal,1,9546,315,17493.467611027983
Tooting Broadway,Baker Street,71,9546,14973,13795.958143100786
Tooting Broadway,Balham,677,9546,3814,2050.126863956017
Tooting Broadway,Bank and Monument,763,9546,78549,11331.352070235389
Tooting Broadway,Barbican,23,9546,9134,12815.469897860294
Tooting Broadway,Barking,8,9546,7004,24902.489636009585
Tooting Broadway,Barkingside,1,9546,262,30460.393922641713
Tooting Broadway,Barons Court,9,9546,2956,15307.435324862376
Tooting Broadway,Bayswater,0,9546,615,15608.328607968735
Tooting Broadway,Becontree,1,9546,456,28196.942021706767
Tooting Broadway,Belsize Park,12,9546,2255,17123.760010405204
Tooting Broadway,Bermondsey,13,9546,3172,12532.450237512094
Tooting Broadway,Bethnal Green,14,9546,4660,14581.146755891059
Tooting Broadway,Blackfriars,67,9546,10849,12345.582941061082
Tooting Broadway,Blackhorse Road,4,9546,2955,24114.07755083542
Tooting Broadway,Bond Street,49,9546,20967,12160.713303343768
Tooting Broadway,Borough,134,9546,3254,9930.029831827855
Tooting Broadway,Boston Manor,1,9546,892,24089.70300083746
Tooting Broadway,Bounds Green,2,9546,778,24140.256829733902
Tooting Broadway,Bow Road,2,9546,1193,16708.019293368903
Tooting Broadway,Brent Cross,4,9546,450,22202.578124998687
Tooting Broadway,Brixton,55,9546,5084,7656.876608962455
Tooting Broadway,Bromley-by-Bow,6,9546,1613,17716.789202730768
Tooting Broadway,Buckhurst Hill,0,9546,228,29686.03812639211
Tooting Broadway,Burnt Oak,3,9546,649,26795.12089614954
Tooting Broadway,Caledonian Road,9,9546,1803,16211.461032163086
Tooting Broadway,Camden Town,61,9546,6348,15091.881923910873
Tooting Broadway,Canada Water,14,9546,20443,13521.967158072384
Tooting Broadway,Canary Wharf,199,9546,58772,16123.833434565
Tooting Broadway,Canning Town,24,9546,15428,18766.571980971505
Tooting Broadway,Cannon Street,7,9546,4698,11660.66478632934
Tooting Broadway,Canons Park,0,9546,526,30453.043453523675
Tooting Broadway,Chalk Farm,9,9546,1329,16085.659070917556
Tooting Broadway,Chancery Lane,87,9546,15391,13165.309359181827
Tooting Broadway,Charing Cross,82,9546,7016,11139.278959555339
Tooting Broadway,Chesham,0,9546,243,55291.33324078882
Tooting Broadway,Chiswick Park,4,9546,1517,19305.797108555656
Tooting Broadway,Clapham Common,143,9546,2020,4475.07969750715
Tooting Broadway,Clapham North,119,9546,1238,5117.837188885551
Tooting Broadway,Clapham South,80,9546,1513,3222.7614647723276
Tooting Broadway,Cockfosters,0,9546,262,30683.271107240053
Tooting Broadway,Colindale,9,9546,2081,25488.69884645584
Tooting Broadway,Colliers Wood,48,9546,865,1280.4196837865097
Tooting Broadway,Covent Garden,2,9546,4355,11966.885075482254
Tooting Broadway,Croxley,0,9546,340,41424.12151091876
Tooting Broadway,Dagenham East,2,9546,649,30904.370587823396
Tooting Broadway,Dagenham Heathway,1,9546,1108,29625.142798773857
Tooting Broadway,Debden,0,9546,865,33573.62961943467
Tooting Broadway,Dollis Hill,3,9546,847,21533.11883402964
Tooting Broadway,Ealing Broadway,13,9546,4846,23169.88626297567
Tooting Broadway,Ealing Common,1,9546,915,21604.589180021372
Tooting Broadway,Earl's Court,16,9546,6613,13802.637259500283
Tooting Broadway,East Acton,5,9546,1505,19605.744183110117
Tooting Broadway,East Finchley,6,9546,1253,21467.21014114846
Tooting Broadway,East Ham,4,9546,2062,22480.19470897649
Tooting Broadway,Eastcote,0,9546,364,33478.30564500352
Tooting Broadway,Edgware,3,9546,772,28313.250575013182
Tooting Broadway,Edgware Road,41,9546,6868,14830.798510565317
Tooting Broadway,Elephant & Castle,194,9546,6427,9108.889679625103
Tooting Broadway,Elm Park,1,9546,269,33200.158944206494
Tooting Broadway,Embankment,142,9546,10220,10798.948139096567
Tooting Broadway,Epping,1,9546,498,39521.22446497838
Tooting Broadway,Euston,128,9546,16800,13718.283113737887
Tooting Broadway,Fairlop,0,9546,182,31629.123758653695
Tooting Broadway,Farringdon,86,9546,25592,13276.379841601907
Tooting Broadway,Finchley Central,12,9546,1921,23837.766686425122
Tooting Broadway,Finchley Road,11,9546,3417,17330.595390415667
Tooting Broadway,Finsbury Park,27,9546,6769,18266.220304256087
Tooting Broadway,Fulham Broadway,3,9546,4200,15312.788327672166
Tooting Broadway,Gants Hill,2,9546,601,26972.082380081563
Tooting Broadway,Gloucester Road,24,9546,5194,12892.516045651197
Tooting Broadway,Golders Green,7,9546,1871,20687.48902167973
Tooting Broadway,Goldhawk Road,1,9546,370,17206.856746028152
Tooting Broadway,Goodge Street,91,9546,6457,12831.766516959597
Tooting Broadway,Great Portland Street,1,9546,6936,14622.777588406921
Tooting Broadway,Green Park,205,9546,26754,11011.800990183156
Tooting Broadway,Greenford,3,9546,1157,27066.87718410604
Tooting Broadway,Gunnersbury,13,9546,4775,19902.74212544767
Tooting Broadway,Hainault,0,9546,356,32507.80732479712
Tooting Broadway,Hammersmith,61,9546,18250,16201.267410783035
Tooting Broadway,Hampstead,10,9546,2010,18301.763114498346
Tooting Broadway,Hanger Lane,4,9546,1493,23240.556848119842
Tooting Broadway,Harlesden,3,9546,1668,21401.59717711188
Tooting Broadway,Harrow & Wealdstone,0,9546,1335,30069.351529036885
Tooting Broadway,Harrow-on-the-Hill,6,9546,3019,29052.9701403218
